2021-10-19-9-53-33 : foodHitCount = 1 out of 128 ;  foodHitCellPos = (1 , 2) ; idxToErase = 11 ; superFoodHitCount = 0 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-36 : foodHitCount = 2 out of 128 ;  foodHitCellPos = (2 , 2) ; idxToErase = 11 ; superFoodHitCount = 0 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-37 : foodHitCount = 3 out of 128 ;  foodHitCellPos = (3 , 2) ; idxToErase = 11 ; superFoodHitCount = 0 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-40 : foodHitCount = 4 out of 128 ;  foodHitCellPos = (3 , 1) ; idxToErase = 0 ; superFoodHitCount = 0 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-43 : foodHitCount = 5 out of 128 ;  foodHitCellPos = (4 , 1) ; idxToErase = 0 ; superFoodHitCount = 0 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-43 : foodHitCount = 5 out of 128 ;  foodHitCellPos = (4 , 1) ; idxToErase = 0 ; superFoodHitCount = 1 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-44 : foodHitCount = 6 out of 128 ;  foodHitCellPos = (5 , 1) ; idxToErase = 0 ; superFoodHitCount = 1 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-47 : foodHitCount = 7 out of 128 ;  foodHitCellPos = (5 , 2) ; idxToErase = 8 ; superFoodHitCount = 1 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-48 : foodHitCount = 8 out of 128 ;  foodHitCellPos = (5 , 3) ; idxToErase = 14 ; superFoodHitCount = 1 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-51 : foodHitCount = 9 out of 128 ;  foodHitCellPos = (6 , 3) ; idxToErase = 14 ; superFoodHitCount = 1 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-52 : foodHitCount = 10 out of 128 ;  foodHitCellPos = (7 , 3) ; idxToErase = 14 ; superFoodHitCount = 1 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-53 : foodHitCount = 11 out of 128 ;  foodHitCellPos = (8 , 3) ; idxToErase = 14 ; superFoodHitCount = 1 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-54 : foodHitCount = 12 out of 128 ;  foodHitCellPos = (9 , 3) ; idxToErase = 14 ; superFoodHitCount = 1 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-57 : foodHitCount = 13 out of 128 ;  foodHitCellPos = (9 , 2) ; idxToErase = 8 ; superFoodHitCount = 1 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-53-58 : foodHitCount = 14 out of 128 ;  foodHitCellPos = (9 , 1) ; idxToErase = 0 ; superFoodHitCount = 1 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-1 : foodHitCount = 15 out of 128 ;  foodHitCellPos = (10 , 1) ; idxToErase = 0 ; superFoodHitCount = 1 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-1 : foodHitCount = 15 out of 128 ;  foodHitCellPos = (10 , 1) ; idxToErase = 0 ; superFoodHitCount = 2 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-2 : foodHitCount = 16 out of 128 ;  foodHitCellPos = (11 , 1) ; idxToErase = 0 ; superFoodHitCount = 2 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-5 : foodHitCount = 17 out of 128 ;  foodHitCellPos = (11 , 2) ; idxToErase = 5 ; superFoodHitCount = 2 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-6 : foodHitCount = 18 out of 128 ;  foodHitCellPos = (11 , 3) ; idxToErase = 10 ; superFoodHitCount = 2 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-7 : foodHitCount = 19 out of 128 ;  foodHitCellPos = (11 , 4) ; idxToErase = 17 ; superFoodHitCount = 2 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-8 : foodHitCount = 20 out of 128 ;  foodHitCellPos = (11 , 5) ; idxToErase = 29 ; superFoodHitCount = 2 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-11 : foodHitCount = 21 out of 128 ;  foodHitCellPos = (10 , 5) ; idxToErase = 28 ; superFoodHitCount = 2 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-12 : foodHitCount = 22 out of 128 ;  foodHitCellPos = (9 , 5) ; idxToErase = 27 ; superFoodHitCount = 2 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-15 : foodHitCount = 23 out of 128 ;  foodHitCellPos = (9 , 6) ; idxToErase = 34 ; superFoodHitCount = 2 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-16 : foodHitCount = 24 out of 128 ;  foodHitCellPos = (9 , 7) ; idxToErase = 43 ; superFoodHitCount = 2 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-19 : foodHitCount = 25 out of 128 ;  foodHitCellPos = (8 , 7) ; idxToErase = 42 ; superFoodHitCount = 2 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-20 : foodHitCount = 26 out of 128 ;  foodHitCellPos = (7 , 7) ; idxToErase = 41 ; superFoodHitCount = 2 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-20 : foodHitCount = 26 out of 128 ;  foodHitCellPos = (7 , 7) ; idxToErase = 41 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-27 : foodHitCount = 27 out of 128 ;  foodHitCellPos = (10 , 7) ; idxToErase = 41 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-29 : foodHitCount = 28 out of 128 ;  foodHitCellPos = (11 , 7) ; idxToErase = 41 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-30 : foodHitCount = 29 out of 128 ;  foodHitCellPos = (12 , 7) ; idxToErase = 41 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-31 : foodHitCount = 30 out of 128 ;  foodHitCellPos = (13 , 7) ; idxToErase = 41 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
2021-10-19-9-54-34 : foodHitCount = 31 out of 128 ;  foodHitCellPos = (13 , 8) ; idxToErase = 49 ; superFoodHitCount = 3 out of 6 ; ghostHitCount = 0 ; ghostEatenCount = 0 ; 
